Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,0,0,0,0,0,0,0,7014.0,0.035149
1,0,0,0,0,0,0,0,0,0,7012.9,0.034591
2,0,0,0,0,0,0,0,0,0,7095.8,0.034692
0,0,0,0,0,0,0,0,0,1,7075.1,0.034961
1,0,0,0,0,0,0,0,0,1,7041.2,0.034804
2,0,0,0,0,0,0,0,0,1,7041.9,0.038456
0,0,0,0,0,0,0,0,1,0,7014.5,0.035074
1,0,0,0,0,0,0,0,1,0,7062.4,0.034628
2,0,0,0,0,0,0,0,1,0,7043.7,0.03515
0,0,0,0,0,0,0,0,1,1,4869.5,0.057543
1,0,0,0,0,0,0,0,1,1,6506.2,0.052071
2,0,0,0,0,0,0,0,1,1,4606.1,0.057197
0,0,0,0,0,0,0,1,0,0,7007.1,0.03484
1,0,0,0,0,0,0,1,0,0,7004.2,0.034602
2,0,0,0,0,0,0,1,0,0,7010.8,0.03501
0,0,0,0,0,0,0,1,0,1,4637.6,0.061421
1,0,0,0,0,0,0,1,0,1,5067.8,0.05508
2,0,0,0,0,0,0,1,0,1,4408.2,0.059169
0,0,0,0,0,0,0,1,1,0,7174.9,0.034141
1,0,0,0,0,0,0,1,1,0,7154.8,0.034007
2,0,0,0,0,0,0,1,1,0,7180.3,0.033733
0,0,0,0,0,0,0,1,1,1,6219.5,0.051337
1,0,0,0,0,0,0,1,1,1,5096.8,0.053411
2,0,0,0,0,0,0,1,1,1,5674.0,0.049135
0,0,0,0,0,0,1,0,0,0,7018.3,0.03486
1,0,0,0,0,0,1,0,0,0,7047.2,0.035239
2,0,0,0,0,0,1,0,0,0,7079.8,0.034495
0,0,0,0,0,0,1,0,0,1,5916.2,0.052696
1,0,0,0,0,0,1,0,0,1,4782.4,0.056052
2,0,0,0,0,0,1,0,0,1,4563.4,0.057888
