Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,0,0,0,0,0,0,0,6845.5,0.023895
1,0,0,0,0,0,0,0,0,0,6817.5,0.024056
2,0,0,0,0,0,0,0,0,0,6801.6,0.024274
0,0,0,0,0,0,0,0,0,1,6883.8,0.024129
1,0,0,0,0,0,0,0,0,1,6845.0,0.02394
2,0,0,0,0,0,0,0,0,1,6711.2,0.026413
0,0,0,0,0,0,0,0,1,0,6838.2,0.023666
1,0,0,0,0,0,0,0,1,0,6812.0,0.024013
2,0,0,0,0,0,0,0,1,0,6824.8,0.024174
0,0,0,0,0,0,0,0,1,1,4285.2,0.040782
1,0,0,0,0,0,0,0,1,1,4725.5,0.040079
2,0,0,0,0,0,0,0,1,1,4681.4,0.041387
0,0,0,0,0,0,0,1,0,0,6828.6,0.024026
1,0,0,0,0,0,0,1,0,0,6780.5,0.024079
2,0,0,0,0,0,0,1,0,0,6834.1,0.024182
0,0,0,0,0,0,0,1,0,1,4907.2,0.04216
1,0,0,0,0,0,0,1,0,1,5055.4,0.038735
2,0,0,0,0,0,0,1,0,1,4121.4,0.042587
0,0,0,0,0,0,0,1,1,0,6943.2,0.023185
1,0,0,0,0,0,0,1,1,0,6917.1,0.023388
2,0,0,0,0,0,0,1,1,0,6949.6,0.023358
0,0,0,0,0,0,0,1,1,1,6329.8,0.03432
1,0,0,0,0,0,0,1,1,1,5789.3,0.03584
2,0,0,0,0,0,0,1,1,1,5966.2,0.034237
0,0,0,0,0,0,1,0,0,0,6742.2,0.024269
1,0,0,0,0,0,1,0,0,0,6786.8,0.024209
2,0,0,0,0,0,1,0,0,0,6844.4,0.024171
0,0,0,0,0,0,1,0,0,1,5312.8,0.039079
1,0,0,0,0,0,1,0,0,1,5367.3,0.038668
2,0,0,0,0,0,1,0,0,1,4894.0,0.039884
0,0,0,0,0,0,1,0,1,0,6930.3,0.023479
1,0,0,0,0,0,1,0,1,0,6944.7,0.023316
2,0,0,0,0,0,1,0,1,0,6960.1,0.023344
0,0,0,0,0,0,1,0,1,1,5462.2,0.044068
1,0,0,0,0,0,1,0,1,1,5292.7,0.040121
2,0,0,0,0,0,1,0,1,1,4401.4,0.043582
0,0,0,0,0,0,1,1,0,0,6801.6,0.024012
1,0,0,0,0,0,1,1,0,0,6821.9,0.024132
2,0,0,0,0,0,1,1,0,0,6881.4,0.023906
0,0,0,0,0,0,1,1,0,1,4577.8,0.041315
1,0,0,0,0,0,1,1,0,1,4457.6,0.040482
2,0,0,0,0,0,1,1,0,1,5866.8,0.038454
0,0,0,0,0,0,1,1,1,0,6958.9,0.023249
1,0,0,0,0,0,1,1,1,0,6949.0,0.02327
2,0,0,0,0,0,1,1,1,0,6943.2,0.023338
0,0,0,0,0,0,1,1,1,1,3855.7,0.04473
1,0,0,0,0,0,1,1,1,1,4423.8,0.044659
2,0,0,0,0,0,1,1,1,1,4828.3,0.044177
0,0,0,0,0,1,0,0,0,0,6861.4,0.023907
1,0,0,0,0,1,0,0,0,0,6870.8,0.023699
2,0,0,0,0,1,0,0,0,0,6856.7,0.023863
0,0,0,0,0,1,0,0,0,1,4803.0,0.038427
1,0,0,0,0,1,0,0,0,1,4430.5,0.040873
2,0,0,0,0,1,0,0,0,1,4532.6,0.039187
0,0,0,0,0,1,0,0,1,0,7016.3,0.02318
1,0,0,0,0,1,0,0,1,0,7019.7,0.023047
2,0,0,0,0,1,0,0,1,0,7029.9,0.023224
0,0,0,0,0,1,0,0,1,1,5417.3,0.034675
1,0,0,0,0,1,0,0,1,1,5448.3,0.037472
2,0,0,0,0,1,0,0,1,1,5660.3,0.032556
0,0,0,0,0,1,0,1,0,0,6867.5,0.023566
1,0,0,0,0,1,0,1,0,0,6936.9,0.023912
2,0,0,0,0,1,0,1,0,0,6843.4,0.023947
0,0,0,0,0,1,0,1,0,1,6006.0,0.0395
1,0,0,0,0,1,0,1,0,1,4865.3,0.040489
2,0,0,0,0,1,0,1,0,1,4194.3,0.040558
