Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,0,0,0,0,0,0,0,6678.4,0.024291
1,0,0,0,0,0,0,0,0,0,6820.1,0.024344
2,0,0,0,0,0,0,0,0,0,6683.6,0.025055
0,0,0,0,0,0,0,0,0,1,6737.4,0.024404
1,0,0,0,0,0,0,0,0,1,6735.9,0.024744
2,0,0,0,0,0,0,0,0,1,6579.8,0.026813
0,0,0,0,0,0,0,0,1,0,6691.2,0.024387
1,0,0,0,0,0,0,0,1,0,6694.0,0.024062
2,0,0,0,0,0,0,0,1,0,6640.4,0.024768
0,0,0,0,0,0,0,0,1,1,4420.1,0.039869
1,0,0,0,0,0,0,0,1,1,6226.6,0.03929
2,0,0,0,0,0,0,0,1,1,4384.3,0.038846
0,0,0,0,0,0,0,1,0,0,6718.7,0.024293
1,0,0,0,0,0,0,1,0,0,6680.9,0.02443
2,0,0,0,0,0,0,1,0,0,6650.6,0.024789
0,0,0,0,0,0,0,1,0,1,5148.3,0.042286
1,0,0,0,0,0,0,1,0,1,4705.2,0.038005
2,0,0,0,0,0,0,1,0,1,4289.9,0.040983
0,0,0,0,0,0,0,1,1,0,6832.1,0.023716
1,0,0,0,0,0,0,1,1,0,6794.9,0.023831
2,0,0,0,0,0,0,1,1,0,6799.5,0.023691
0,0,0,0,0,0,0,1,1,1,5603.8,0.035995
1,0,0,0,0,0,0,1,1,1,5173.0,0.036788
2,0,0,0,0,0,0,1,1,1,5809.7,0.035466
0,0,0,0,0,0,1,0,0,0,6686.7,0.024914
1,0,0,0,0,0,1,0,0,0,6652.8,0.024234
2,0,0,0,0,0,1,0,0,0,6759.3,0.02431
0,0,0,0,0,0,1,0,0,1,5164.6,0.038983
1,0,0,0,0,0,1,0,0,1,5082.4,0.038336
2,0,0,0,0,0,1,0,0,1,5093.6,0.038605
0,0,0,0,0,0,1,0,1,0,6830.0,0.024031
1,0,0,0,0,0,1,0,1,0,6788.0,0.023894
2,0,0,0,0,0,1,0,1,0,6813.8,0.023861
0,0,0,0,0,0,1,0,1,1,3998.5,0.045533
1,0,0,0,0,0,1,0,1,1,4771.6,0.043542
2,0,0,0,0,0,1,0,1,1,3966.1,0.045932
0,0,0,0,0,0,1,1,0,0,6684.5,0.024288
1,0,0,0,0,0,1,1,0,0,6750.5,0.024719
2,0,0,0,0,0,1,1,0,0,6694.0,0.024933
