Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,0,0,0,0,0,0,0,7090.7,0.035452
1,0,0,0,0,0,0,0,0,0,6966.8,0.035509
2,0,0,0,0,0,0,0,0,0,7055.9,0.034901
0,0,0,0,0,0,0,0,0,1,7049.3,0.034617
1,0,0,0,0,0,0,0,0,1,6969.1,0.035094
2,0,0,0,0,0,0,0,0,1,6970.0,0.039449
0,0,0,0,0,0,0,0,1,0,7071.7,0.034936
1,0,0,0,0,0,0,0,1,0,6954.1,0.035302
2,0,0,0,0,0,0,0,1,0,7002.2,0.034641
0,0,0,0,0,0,0,0,1,1,4429.1,0.057778
1,0,0,0,0,0,0,0,1,1,5317.3,0.055442
2,0,0,0,0,0,0,0,1,1,5066.2,0.055478
0,0,0,0,0,0,0,1,0,0,7036.9,0.035546
1,0,0,0,0,0,0,1,0,0,6921.6,0.035234
2,0,0,0,0,0,0,1,0,0,6932.4,0.0351
0,0,0,0,0,0,0,1,0,1,4676.9,0.060646
1,0,0,0,0,0,0,1,0,1,5587.3,0.054696
2,0,0,0,0,0,0,1,0,1,4478.7,0.059594
0,0,0,0,0,0,0,1,1,0,7134.2,0.0342
1,0,0,0,0,0,0,1,1,0,7123.6,0.034123
2,0,0,0,0,0,0,1,1,0,7133.7,0.033937
0,0,0,0,0,0,0,1,1,1,5362.1,0.05152
1,0,0,0,0,0,0,1,1,1,5289.5,0.052187
2,0,0,0,0,0,0,1,1,1,5206.4,0.05309
0,0,0,0,0,0,1,0,0,0,7016.5,0.034946
1,0,0,0,0,0,1,0,0,0,6977.1,0.034796
2,0,0,0,0,0,1,0,0,0,7040.0,0.035362
0,0,0,0,0,0,1,0,0,1,6178.1,0.054113
1,0,0,0,0,0,1,0,0,1,6248.2,0.055599
2,0,0,0,0,0,1,0,0,1,4730.8,0.057128
0,0,0,0,0,0,1,0,1,0,7135.4,0.033888
1,0,0,0,0,0,1,0,1,0,7153.5,0.034088
2,0,0,0,0,0,1,0,1,0,7185.0,0.034032
0,0,0,0,0,0,1,0,1,1,4367.3,0.06379
1,0,0,0,0,0,1,0,1,1,5572.2,0.058135
2,0,0,0,0,0,1,0,1,1,4088.2,0.066173
0,0,0,0,0,0,1,1,0,0,6982.7,0.035369
1,0,0,0,0,0,1,1,0,0,7056.1,0.034739
2,0,0,0,0,0,1,1,0,0,6976.7,0.034808
0,0,0,0,0,0,1,1,0,1,5237.3,0.05705
1,0,0,0,0,0,1,1,0,1,4639.7,0.05647
2,0,0,0,0,0,1,1,0,1,5216.0,0.056278
0,0,0,0,0,0,1,1,1,0,7134.6,0.034258
1,0,0,0,0,0,1,1,1,0,7123.3,0.034163
2,0,0,0,0,0,1,1,1,0,7116.6,0.033881
0,0,0,0,0,0,1,1,1,1,5482.7,0.060502
1,0,0,0,0,0,1,1,1,1,4198.5,0.064875
2,0,0,0,0,0,1,1,1,1,5093.7,0.059677
0,0,0,0,0,1,0,0,0,0,7109.0,0.034444
1,0,0,0,0,1,0,0,0,0,7092.7,0.034654
2,0,0,0,0,1,0,0,0,0,7058.0,0.034901
0,0,0,0,0,1,0,0,0,1,4682.9,0.055711
1,0,0,0,0,1,0,0,0,1,4946.2,0.058075
2,0,0,0,0,1,0,0,0,1,5357.3,0.054732
0,0,0,0,0,1,0,0,1,0,7175.3,0.033852
1,0,0,0,0,1,0,0,1,0,7224.8,0.033735
2,0,0,0,0,1,0,0,1,0,7165.0,0.033878
0,0,0,0,0,1,0,0,1,1,5501.2,0.050363
1,0,0,0,0,1,0,0,1,1,4974.7,0.052108
2,0,0,0,0,1,0,0,1,1,5889.7,0.05006
0,0,0,0,0,1,0,1,0,0,7107.9,0.03473
1,0,0,0,0,1,0,1,0,0,7076.5,0.034987
2,0,0,0,0,1,0,1,0,0,7089.9,0.034577
0,0,0,0,0,1,0,1,0,1,6527.2,0.058177
1,0,0,0,0,1,0,1,0,1,4880.7,0.0548
2,0,0,0,0,1,0,1,0,1,4640.9,0.057662
0,0,0,0,0,1,0,1,1,0,7173.2,0.033712
1,0,0,0,0,1,0,1,1,0,7170.0,0.033842
2,0,0,0,0,1,0,1,1,0,7171.6,0.033881
0,0,0,0,0,1,0,1,1,1,4954.0,0.052884
1,0,0,0,0,1,0,1,1,1,5530.5,0.05185
2,0,0,0,0,1,0,1,1,1,5187.4,0.050496
0,0,0,0,0,1,1,0,0,0,7026.6,0.034759
1,0,0,0,0,1,1,0,0,0,7063.3,0.034747
2,0,0,0,0,1,1,0,0,0,7039.6,0.034498
0,0,0,0,0,1,1,0,0,1,4614.9,0.057653
1,0,0,0,0,1,1,0,0,1,5038.8,0.0546
2,0,0,0,0,1,1,0,0,1,4725.8,0.05907
0,0,0,0,0,1,1,0,1,0,7186.7,0.034031
1,0,0,0,0,1,1,0,1,0,7211.5,0.033678
2,0,0,0,0,1,1,0,1,0,7233.3,0.033605
0,0,0,0,0,1,1,0,1,1,3843.4,0.066592
1,0,0,0,0,1,1,0,1,1,5246.0,0.062019
2,0,0,0,0,1,1,0,1,1,4340.9,0.063871
0,0,0,0,0,1,1,1,0,0,7036.3,0.034938
1,0,0,0,0,1,1,1,0,0,7056.1,0.034552
2,0,0,0,0,1,1,1,0,0,6981.0,0.034973
0,0,0,0,0,1,1,1,0,1,5549.8,0.054229
1,0,0,0,0,1,1,1,0,1,6186.7,0.052134
2,0,0,0,0,1,1,1,0,1,5347.3,0.048037
0,0,0,0,0,1,1,1,1,0,7166.8,0.033837
1,0,0,0,0,1,1,1,1,0,7161.4,0.033912
2,0,0,0,0,1,1,1,1,0,7191.5,0.033784
0,0,0,0,0,1,1,1,1,1,4592.7,0.062803
1,0,0,0,0,1,1,1,1,1,5263.4,0.058893
2,0,0,0,0,1,1,1,1,1,4115.4,0.064762
0,0,0,0,1,0,0,0,0,0,6214.4,0.040608
1,0,0,0,1,0,0,0,0,0,6189.6,0.041248
2,0,0,0,1,0,0,0,0,0,6906.5,0.03766
0,0,0,0,1,0,0,0,0,1,4698.8,0.056557
1,0,0,0,1,0,0,0,0,1,4573.2,0.059592
2,0,0,0,1,0,0,0,0,1,4652.4,0.057737
0,0,0,0,1,0,0,0,1,0,6911.6,0.036749
1,0,0,0,1,0,0,0,1,0,7102.3,0.034908
2,0,0,0,1,0,0,0,1,0,7038.9,0.034943
0,0,0,0,1,0,0,0,1,1,4605.3,0.058976
1,0,0,0,1,0,0,0,1,1,4817.4,0.057902
2,0,0,0,1,0,0,0,1,1,4940.4,0.058326
0,0,0,0,1,0,0,1,0,0,6977.4,0.034956
1,0,0,0,1,0,0,1,0,0,6961.7,0.03514
2,0,0,0,1,0,0,1,0,0,6973.9,0.03592
0,0,0,0,1,0,0,1,0,1,5415.8,0.055748
1,0,0,0,1,0,0,1,0,1,4828.6,0.055507
2,0,0,0,1,0,0,1,0,1,4435.7,0.059201
0,0,0,0,1,0,0,1,1,0,7133.9,0.034264
1,0,0,0,1,0,0,1,1,0,7137.8,0.034196
2,0,0,0,1,0,0,1,1,0,7165.1,0.033932
0,0,0,0,1,0,0,1,1,1,5535.2,0.051477
1,0,0,0,1,0,0,1,1,1,5224.9,0.050207
2,0,0,0,1,0,0,1,1,1,5227.7,0.051775
0,0,0,0,1,0,1,0,0,0,6995.9,0.035814
1,0,0,0,1,0,1,0,0,0,6784.3,0.038147
2,0,0,0,1,0,1,0,0,0,6983.2,0.034854
0,0,0,0,1,0,1,0,0,1,4539.5,0.058606
1,0,0,0,1,0,1,0,0,1,4874.9,0.057034
2,0,0,0,1,0,1,0,0,1,4407.5,0.059871
0,0,0,0,1,0,1,0,1,0,7221.3,0.034115
1,0,0,0,1,0,1,0,1,0,7171.8,0.03387
2,0,0,0,1,0,1,0,1,0,7126.3,0.034038
0,0,0,0,1,0,1,0,1,1,4327.1,0.063608
1,0,0,0,1,0,1,0,1,1,4289.9,0.063536
2,0,0,0,1,0,1,0,1,1,4574.8,0.062328
0,0,0,0,1,0,1,1,0,0,6950.3,0.035328
1,0,0,0,1,0,1,1,0,0,6949.9,0.035275
2,0,0,0,1,0,1,1,0,0,7057.0,0.034523
0,0,0,0,1,0,1,1,0,1,5897.8,0.049614
1,0,0,0,1,0,1,1,0,1,4975.1,0.051182
2,0,0,0,1,0,1,1,0,1,6351.6,0.049471
0,0,0,0,1,0,1,1,1,0,7111.4,0.03398
1,0,0,0,1,0,1,1,1,0,7106.1,0.034071
2,0,0,0,1,0,1,1,1,0,7102.1,0.034106
0,0,0,0,1,0,1,1,1,1,4498.9,0.065586
1,0,0,0,1,0,1,1,1,1,5919.5,0.060108
2,0,0,0,1,0,1,1,1,1,4385.6,0.063277
0,0,0,0,1,1,0,0,0,0,7045.7,0.034709
1,0,0,0,1,1,0,0,0,0,6991.6,0.035435
2,0,0,0,1,1,0,0,0,0,6995.7,0.034698
0,0,0,0,1,1,0,0,0,1,4837.3,0.056832
