sample,if,outUCastPkts,inOctets,outOctets,inUcastPkts,outNUCastPkts,inNUcastPkts
0,1,0,0,0,0,0,0
0,2,672,184683,90820,2226,0,0
0,3,96,116273,14370,866,0,0
0,6,119,97039,16290,751,0,0
0,7,678,149297,92040,2201,0,0
0,9,0,0,0,0,0,0
0,10,1621,0,142038,0,0,0
0,11,1621,0,142038,0,0,0
1,1,0,0,0,0,0,0
1,2,376,143765,52072,1619,0,0
1,3,105,138865,19345,1023,0,0
1,6,122,116917,21265,906,0,0
1,7,350,107185,49532,1486,0,0
1,9,0,0,0,0,0,0
1,10,1209,0,109328,0,0,0
1,11,1209,0,109328,0,0,0
2,1,0,0,0,0,0,0
2,2,353,148319,48741,1805,0,0
2,3,111,138016,16479,1019,0,0
2,6,131,116547,18399,903,0,0
2,7,343,116354,48081,1743,0,0
2,9,0,0,0,0,0,0
2,10,1468,0,130136,0,0,0
2,11,1468,0,130136,0,0,0
3,1,0,0,0,0,0,0
3,2,391,151097,49396,1673,0,0
3,3,107,116672,22340,871,0,0
3,6,127,97440,24260,757,0,0
3,7,381,116048,48736,1575,0,0
3,9,0,0,0,0,0,0
3,10,1266,0,114390,0,0,0
3,11,1266,0,114390,0,0,0
4,1,0,0,0,0,0,0
4,2,425,141174,56971,1506,0,0
4,3,132,107612,26716,767,0,0
4,6,152,89764,28636,652,0,0
4,7,415,112020,56311,1433,0,0
4,9,0,0,0,0,0,0
4,10,1095,0,100278,0,0,0
4,11,1097,0,100446,0,0,0
5,1,0,0,0,0,0,0
5,2,298,96632,38035,1011,0,0
5,3,72,93532,10593,664,0,0
5,6,88,78364,12129,568,0,0
5,7,290,72746,37507,931,0,0
5,9,0,0,0,0,0,0
5,10,687,0,68431,0,0,0
5,11,685,0,68263,0,0,0
6,1,0,0,0,0,0,0
6,2,443,132585,56252,1243,0,0
6,3,113,98585,26859,719,0,0
6,6,133,81409,28779,604,0,0
6,7,433,103649,55592,1146,0,0
6,9,0,0,0,0,0,0
6,10,787,0,77028,0,0,0
6,11,787,0,77028,0,0,0
7,1,0,0,0,0,0,0
7,2,1167,175776,119737,1907,0,0
7,3,92,97305,13360,705,0,0
7,6,112,79809,15280,588,0,0
7,7,1157,142476,119077,1846,0,0
7,9,0,0,0,0,0,0
7,10,769,0,75590,0,0,0
7,11,769,0,75590,0,0,0
8,1,0,0,0,0,0,0
8,2,352,118004,46771,1197,0,0
8,3,123,105176,21262,748,0,0
8,6,143,87501,23182,632,0,0
8,7,342,89619,46111,1099,0,0
8,9,0,0,0,0,0,0
8,10,794,0,76886,0,0,0
8,11,794,0,76886,0,0,0
9,1,0,0,0,0,0,0
9,2,409,189142,49274,1448,0,0
9,3,170,100705,82537,761,0,0
9,6,190,82941,84457,646,0,0
9,7,399,162175,48614,1386,0,0
9,9,0,0,0,0,0,0
9,10,1043,0,96241,0,0,0
9,11,1043,0,96241,0,0,0
10,1,0,0,0,0,0,0
10,2,375,136024,51156,1409,0,0
10,3,115,101904,24067,719,0,0
10,6,131,85966,25603,623,0,0
10,7,367,105098,50628,1317,0,0
10,9,0,0,0,0,0,0
10,10,1015,0,94793,0,0,0
10,11,1015,0,94793,0,0,0
11,1,0,0,0,0,0,0
11,2,353,164905,45573,2007,0,0
11,3,93,97730,17421,701,0,0
11,6,113,80806,19341,586,0,0
11,7,343,125181,44913,1908,0,0
11,9,0,0,0,0,0,0
11,10,1632,0,142141,0,0,0
11,11,1632,0,142141,0,0,0
12,1,0,0,0,0,0,0
12,2,302,138347,37912,1738,0,0
12,3,96,95037,13133,695,0,0
12,6,116,78197,15053,580,0,0
12,7,292,107413,37252,1677,0,0
12,9,0,0,0,0,0,0
12,10,1450,0,128684,0,0,0
12,11,1450,0,128684,0,0,0
13,1,0,0,0,0,0,0
13,2,1011,200268,108698,2054,0,0
13,3,121,103523,29601,768,0,0
13,6,141,85099,31521,650,0,0
13,7,1001,159978,108038,1957,0,0
13,9,0,0,0,0,0,0
13,10,1018,0,94315,0,0,0
13,11,1018,0,94315,0,0,0
14,1,0,0,0,0,0,0
14,2,416,118987,56668,1118,0,0
14,3,142,109140,28796,784,0,0
14,6,162,90961,30716,668,0,0
14,7,406,96640,56008,1056,0,0
14,9,0,0,0,0,0,0
14,10,736,0,73171,0,0,0
14,11,736,0,73171,0,0,0
15,1,0,0,0,0,0,0
15,2,308,105711,41327,1103,0,0
15,3,91,107006,13166,779,0,0
15,6,107,90228,14702,683,0,0
15,7,300,78976,40799,1010,0,0
15,9,0,0,0,0,0,0
15,10,757,0,74865,0,0,0
15,11,771,0,75033,0,0,0
16,1,0,0,0,0,0,0
16,2,365,109018,47345,1114,0,0
16,3,91,115535,12932,854,0,0
16,6,111,96469,14852,739,0,0
16,7,355,81888,46685,1017,0,0
16,9,0,0,0,0,0,0
16,10,721,0,70871,0,0,0
16,11,707,0,70703,0,0,0
17,1,0,0,0,0,0,0
17,2,1203,198918,128047,2113,0,0
17,3,111,110780,24193,789,0,0
17,6,131,92624,26113,674,0,0
17,7,1193,161505,127387,2036,0,0
17,9,0,0,0,0,0,0
17,10,914,0,86079,0,0,0
17,11,914,0,86079,0,0,0
18,1,0,0,0,0,0,0
18,2,355,123138,45032,1189,0,0
18,3,103,97773,25374,711,0,0
18,6,123,80827,27294,598,0,0
18,7,345,94958,44372,1092,0,0
18,9,0,0,0,0,0,0
18,10,811,0,78500,0,0,0
18,11,811,0,78500,0,0,0
